Seasons.Title78,Tatlı sezonu
obj3784.name,Parlak jöle
skin902.name,Zencefilli kurabiye deposu
skin1151.name,Pasta Şefi Archibald
element1192.name,Lezzetli kek
element183.name,Yelpaze
Events.FlappyReskin.WindowStart.Title,Yaz ateşi
Events.FlappyReskin.WindowStart.Description,İşte yaz geliyor! Tüm Fairyland karakterleri tatile gitti ve izlenimlerini paylaşmak için sabırsızlanıyorlar. Ancak posta istasyonlarında çok fazla mektup var ve yeterli postacı yok.Bu güzel zarfları teslim etmek için yardımınıza ihtiyacımız var!
Events.WindowHelp.FlappyReskin.TipText01,Tüylü postacıların bu kadar çok mektupla baş etmesi zor. Lütfen onlara yardım edin!
WindowBuyItemsVirtualVariants.TxtHead.ID,Enerji satın al
WindowBuyItemsVirtualVariants.TxtDescription.ID,Enerji yenilenene kadar bekleyin veya şimdi satın alın
element679.name,Sihirli çiçekler
element680.name,Yıldızlar
element680.desr,Yıldız almak için mektupları teslim et
element681.name,Posta sandığı
FlappyReskin.Main.State.Game.Chests,Posta sandıkları
FlappyReskin.Rating.Hint.CounterItem,Toplanan yıldızlar
help42.page1.head,Kuşu kontrol et
help42.page2.desc,Yoluna çıkacak tüm engellerden kaçmak ve ödüllerin hepsini almak için elinden geleni yap.
help42.page3.head,Mektupları teslim et
FlappyReskin.WindowEnd.Convertation.Description,Kalan kaynaklar çiftlik sakinlerine satıldı!
FlappyReskin.EventsEnergy.Frame1,Sihirli çiçekler tükendiyse endişelenme. Bir süre sonra otomatik olarak yenilenirler.
FlappyReskin.frame1.Description,"Seni gördüğüme çok sevindim! Kasabamızda çok fazla turist var, bu yüzden iş miktarıyla baş edemiyoruz. Yardımınız paha biçilmez olurdu!"
