1,Seasons.Title78,Сезон сладостей,Sweet season,Douce saison,Süße Jahreszeit,Temporada dulce,Estação doce,Dolce stagione,Zoet seizoen,Słodki sezon,Tatlı sezonu,甜蜜季节,甜蜜季節,달콤한 계절,甘い季節,Musim manis,Musim manis
2,obj3784.name,Сладкий пудинг,Bright jelly,Gelée lumineuse,Helles Gelee,Gelatina brillante,Geleia brilhante,Gelatina brillante,Heldere gelei,Jasna galaretka,Parlak jöle,明亮果冻,明亮果凍,밝은 젤리,明るいゼリー,Jeli cerah,Jeli terang
3,skin902.name,Пряничный склад,Gingerbread storehouse,Magasin de pain d'épice,Lebkuchenlager,Galpón de pan de jengibre,Armazém de gengibre,Magazzino di pan di zenzero,Peperkoekpakhuis,Magazyn pierników,Zencefilli kurabiye deposu,姜饼仓库,薑餅倉庫,진저브레드 창고,ジンジャーブレッド倉庫,Gudang roti jahe,Gedung roti halia
4,skin1151.name,Арчибальд-кондитер,Archibald the Pastry Chef,Archibald le Chef Pâtissier,Archibald der Chef-Konditor,Archibald el pastelero,"Archibald, o chef confeiteiro",Archibald il pasticcere,Archibald de banketbakker,Archibald Cukiernik,Pasta Şefi Archibald,糕点师阿奇博尔德,糕點師阿奇博爾德,아치볼드 페이스트리 셰프,パティシエの高射砲,Archibald si Koki Kue,Archibald si Chef Pastri
5,element1192.name,Волшебный маффин,Delicious muffin,Délicieux muffin,Leckerer Muffin,Muffin delicioso ,Muffin delicioso,Delizioso muffin,Heerlijke muffin,Pyszna babeczka,Lezzetli kek,美味的松饼,美味的鬆餅,맛있는 머핀,美味しいマフィン,Muffin enak,Muffin yang sedap
6,element183.name,Веер,Hand fan,Ventilateur à main,Handventilator,Ventilador de mano,Leque,Ventaglio,Handwaaier,Wachlarz ręczny,Yelpaze,手扇,手扇,손 부채,扇子,Kipas tangan,Kipas tangan
7,Events.FlappyReskin.WindowStart.Title,Летняя горячка,Summer fever,Fièvre d'été,Sommerfieber,Fiebre de verano,Febre do verão,Febbre d'estate,Zomerkoorts,Letnia gorączka,Yaz ateşi,夏季狂热,夏季發燒,한 여름의 열기,夏の熱,Demam musim panas,Demam musim panas
8,Events.FlappyReskin.WindowStart.Description,Наступило тёплое лето. Все персонажи сказочной страны разъехались отдыхать и делятся впечатлениями с отдыха. Но на почте слишком много писем и слишком мало курьеров. Помогите сказочным почтальонам доставить все письма адресатам! ,"Here comes the summer! All Fairyland characters have gone on vacation, and they can't wait to share their impressions. But there are too many letters and not enough postmen on the post stations.We need you help with delivering these pretty envelopes!",Voici venu l'été ! Tous les personnages de Fairyland sont partis en vacances et ils ont hâte de partager leurs impressions. Mais il y a trop de lettres et pas assez de facteurs dans les relais.Nous avons besoin de vous pour livrer ces jolies enveloppes !,"Hier kommt der Sommer! Alle Fairyland-Charaktere sind in den Urlaub gefahren und können es kaum erwarten, ihre Eindrücke zu teilen. Aber es gibt zu viele Briefe und zu wenig Postboten auf den Poststationen.Wir brauchen Ihre Hilfe bei der Zustellung dieser hübschen Umschläge!",¡Aquí viene el verano! Todos los personajes de Fairyland se han ido de vacaciones y están ansiosos por compartir sus impresiones. Pero hay demasiadas cartas y no hay suficientes carteros en las estaciones postales. ¡Necesitamos tu ayuda para entregar estos bonitos sobres!,Aí vem o verão! Todos os personagens de Fairyland saíram de férias e mal podem esperar para compartilhar suas impressões. Mas há muitas cartas e carteiros insuficientes nas estações de correios.Precisamos de sua ajuda para entregar esses lindos envelopes!,Arriva l'estate! Tutti i personaggi di Fairyland sono andati in vacanza e non vedono l'ora di condividere le loro impressioni. Ma ci sono troppe lettere e non abbastanza postini nelle stazioni di posta. Abbiamo bisogno del tuo aiuto per consegnare queste belle buste!,De zomer komt eraan! Alle Fairyland-personages zijn op vakantie gegaan en ze kunnen niet wachten om hun indrukken te delen. Maar er zijn te veel brieven en te weinig postbodes op de poststations.We hebben je hulp nodig bij het bezorgen van deze mooie enveloppen!,Nadchodzi lato! Wszystkie postacie z Krainy Bajek wyjechały na wakacje i nie mogą się doczekać podzielenia się swoimi wrażeniami. Ale na stacjach pocztowych jest za dużo listów i za mało listonoszy.Potrzebujemy Twojej pomocy w dostarczeniu tych ślicznych kopert!,İşte yaz geliyor! Tüm Fairyland karakterleri tatile gitti ve izlenimlerini paylaşmak için sabırsızlanıyorlar. Ancak posta istasyonlarında çok fazla mektup var ve yeterli postacı yok.Bu güzel zarfları teslim etmek için yardımınıza ihtiyacımız var!,夏天来了！所有仙境人物都去度假了，他们迫不及待地想分享自己的印象。但是邮局的信件太多，邮递员不够。我们需要您帮助投递这些漂亮的信封！,夏天來了！所有仙境人物都去度假了，他們迫不及待地想分享他們的印象。但是郵局的信件太多，郵遞員不夠。我們需要您幫助運送這些漂亮的信封！,여름이 왔어요! 모든 동화 나라 캐릭터는 휴가를 떠났고 자신들의 경험을 공유하기를 고대하고 있습니다. 하지만 우체국에는 편지가 너무 많고 우체부가 충분하지 않습니다.이 예쁜 편지를 배달하는 데 당신의 도움이 필요합니다!,夏がやってきました！すべてのフェアリーランドのキャラクターは休暇を取りました、そして彼らは彼らの印象を共有するのを待つことができません。しかし、郵便局には手紙が多すぎて郵便配達員が足りません。これらのかわいい封筒の配達を手伝ってください。,"Musim panas datang! Semua karakter Negeri Dongeng telah pergi berlibur, dan mereka tidak sabar untuk membagikan kesan mereka. Tapi ada terlalu banyak surat dan tidak cukup tukang pos di stasiun pos.Kami membutuhkan bantuanmu untuk mengirimkan amplop-amplop cantik ini!","Musim panas menjelma! Semua watak Fairyland telah pergi bercuti, dan mereka tidak sabar untuk berkongsi tanggapan mereka. Tetapi terdapat terlalu banyak surat dan posmen tidak mencukupi di stesen pos. Kami memerlukan bantuan anda untuk menghantar sampul surat yang cantik ini!"
9,Events.WindowHelp.FlappyReskin.TipText01,Пернатым почтальонам сложно справляться с множеством писем. Помогите им!,"It's hard for the feathered postmen to cope with so many letters. Please, help them!","Il est difficile pour les facteurs à plumes de faire face à tant de lettres. S'il vous plaît, aidez-les !",So viele Briefe können die gefiederten Postboten nur schwer bewältigen. Bitte helfen Sie ihnen!,"Es difícil para los carteros emplumados hacer frente a tantas cartas. ¡Por favor, ayúdalos!",É difícil para os carteiros emplumados lidar com tantas cartas. Ajude-os!,"È difficile per i postini piumati far fronte a così tante lettere. Per favore, aiutali!","Het is moeilijk voor de postduiven om zoveel brieven te verwerken. Alsjeblieft, help ze!","Pierzastym listonoszom trudno jest poradzić sobie z tyloma listami. Proszę, pomóż im!",Tüylü postacıların bu kadar çok mektupla baş etmesi zor. Lütfen onlara yardım edin!,有羽毛的邮递员很难应付这么多的信件。请帮助他们！,有羽毛的郵遞員很難應付這麼多的信件。請幫助他們！,깃털 달린 우편 배달부가 그렇게 많은 편지를 처리하는 것은 어렵습니다. 제발 도와주세요!,羽の生えた郵便配達員がこれほど多くの手紙に対処するのは難しいです。助けてください！,"Sulit bagi tukang pos berbulu untuk menangani begitu banyak surat. Tolong, bantu mereka!","Sukar untuk posmen berbulu untuk mengendali terlalu banyak surat. Tolong, bantu mereka!"
10,WindowBuyItemsVirtualVariants.TxtHead.ID,Купить энергию,Buy energy,Acheter de l'énergie,Energie kaufen,Comprar energía,Comprar energia,Acquista energia,Koop energie,Kup energię,Enerji satın al,购买能量,購買能源,에너지 구매,エネルギーを買う,Beli energi,Beli tenaga
